Hydro_condition;plot_ident;Yield_Cor;Bloc;N_spike_m2;PMG;N_kernel_m2;mean_N_kernel;mean_W_kernel;mean_N_spikelet;mean_Fertility_rate;mean_L_stem;mean_H_spike;mean_H_plant;V_H_plant
D;26;448,2092653;C3;292,5696594;49,2527288;7875875,595;27,7;NA;19;83,75;64,84;6,82;71,66;55,85155556
D;14;311,8062592;B3;235,2941176;45,90984975;8590542,099;36,5;NA;19,2;88,75;65,44;7,53;72,97;98,05788889
D;24;486,6493579;B3;346,749226;49,44723618;7549041,973;33,75;NA;19;96,875;63,825;7,225;71,05;71,54
D;29;466,8915789;C3;314,2414861;49,39799331;8146686,204;33,66666667;NA;19,88888889;87,5;66,98888889;7,077777778;74,06666667;130,6925
D;47;347,5908842;D3;232,1981424;52,23275862;1854709,621;22,8;NA;18;90;59,84;5,87;65,71;135,5765556
D;13;379,0875789;B3;255,4179567;45,24166667;12114395,93;36,77777778;NA;20,77777778;94,44444444;65,63333333;8;73,63333333;69,31
D;48;309,69;D3;205,8823529;51,55388471;5885274,894;32,2;NA;18,6;92,5;55,9;6,49;62,46666667;59,8475
D;17;591,254125;B3;235,2941176;47,125;4048289,12;32,7;1,364;19,2;87,5;60,85;7,14;67,99;22,70322222
D;30;535,0087895;C3;323,5294118;48,29002515;12100000;30,6;1,302;19,4;93,75;57,99;6,86;64,85;87,43833333
D;10;468,6588095;A3;289,4736842;50,46666667;10915697,14;31,6;1,483;18,4;86,25;65,15;7,04;72,19;88,79655556
D;8;383,2470747;A3;258,5139319;51,84628237;11456795,89;27,9;1,462;19,2;93,75;65,49;6,86;72,35;68,75833333
D;15;429,8261934;B3;301,8575851;47,53333333;10781284,45;31,1;1,625;19,6;92,5;66,62;7,75;74,37;26,53344444
D;31;304,8557566;C3;238,3900929;52,61884904;7617723,846;35,4;1,635;19,2;93,75;63,85;6,98;70,83;81,04011111
D;41;454,5039474;D3;295,6656347;50,14166667;1976621,899;25,88888889;1,415;18,8;96,25;61,41111111;6,64;68,16666667;59,2825
D;33;312,1059237;C3;238,3900929;52,26855713;5044595,143;27,9;1,468;17,4;93,75;66,6;6,26;72,86;43,94933333
D;18;491,86137;B3;255,4179567;48,45833333;14016093,32;34,8;1,63;19,2;95,83333333;66,01;7,86;73,87;160,3045556
D;11;403,3346826;A3;222,9102167;50,56208054;5271999,157;32,1;1,673;19,6;91,25;66,51;7,18;73,69;127,4143333
D;27;485,9419789;C3;294,1176471;47,93160967;11600346,02;35,1;1,626;19,6;95;65,23;7,01;72,24;65,14711111
D;12;391,8494704;A3;286,377709;50,85141903;5949528,921;27,9;1,514;18,2;95;63,53;6,9;70,43;22,99566667
