"";"Hydro_condition";"plot_ident";"plant_ident";"H_stem";"H_spike";"N_kernel";"W_kernel";"N_spikelet";"Ps";"Yield_Cor";"Bloc";"N_spike";"PMG";"H_plant";"Fertility_rate"
"1";"D";"26";1;58,2;6,4;25;NA;21;83,2;448,2092652632;"C3";292,5696594427;49,2527287993283;64,6;75
"2";"D";"26";2;74,5;5,5;22;NA;13;83,2;448,2092652632;"C3";292,5696594427;49,2527287993283;80;75
"3";"D";"26";3;68;7,1;21;NA;17;83,2;448,2092652632;"C3";292,5696594427;49,2527287993283;75,1;87,5
"4";"D";"26";4;52;5,5;22;NA;17;83,2;448,2092652632;"C3";292,5696594427;49,2527287993283;57,5;75
"5";"D";"26";5;69;5,5;24;NA;15;83,2;448,2092652632;"C3";292,5696594427;49,2527287993283;74,5;75
"6";"D";"26";6;66;8,4;47;NA;21;83,2;448,2092652632;"C3";292,5696594427;49,2527287993283;74,4;100
"7";"D";"26";7;61,4;7,1;41;NA;23;83,2;448,2092652632;"C3";292,5696594427;49,2527287993283;68,5;87,5
"8";"D";"26";8;63,4;8,4;16;NA;21;83,2;448,2092652632;"C3";292,5696594427;49,2527287993283;71,8;75
"9";"D";"26";9;60,5;6,8;28;NA;19;83,2;448,2092652632;"C3";292,5696594427;49,2527287993283;67,3;100
"10";"D";"26";10;75,4;7,5;31;NA;23;83,2;448,2092652632;"C3";292,5696594427;49,2527287993283;82,9;87,5
"11";"D";"14";1;85;11,1;54;NA;25;81,3;311,8062592105;"B3";235,2941176471;45,9098497495826;96,1;100
"12";"D";"14";2;63,6;6;28;NA;17;81,3;311,8062592105;"B3";235,2941176471;45,9098497495826;69,6;100
"13";"D";"14";3;65,5;7;50;NA;21;81,3;311,8062592105;"B3";235,2941176471;45,9098497495826;72,5;100
"14";"D";"14";4;62,5;6,5;28;NA;23;81,3;311,8062592105;"B3";235,2941176471;45,9098497495826;69;100
"15";"D";"14";5;60,4;9;50;NA;19;81,3;311,8062592105;"B3";235,2941176471;45,9098497495826;69,4;100
"16";"D";"14";6;76,4;7,1;42;NA;21;81,3;311,8062592105;"B3";235,2941176471;45,9098497495826;83,5;100
"17";"D";"14";7;64,9;8;35;NA;15;81,3;311,8062592105;"B3";235,2941176471;45,9098497495826;72,9;87,5
"18";"D";"14";8;60,1;7,1;38;NA;19;81,3;311,8062592105;"B3";235,2941176471;45,9098497495826;67,2;75
"19";"D";"14";9;61;7,5;21;NA;15;81,3;311,8062592105;"B3";235,2941176471;45,9098497495826;68,5;62,5
"20";"D";"14";10;55;6;19;NA;17;81,3;311,8062592105;"B3";235,2941176471;45,9098497495826;61;62,5
"21";"D";"24";1;68;7,1;34;NA;19;80,6;486,6493578947;"B3";346,7492260062;49,4472361809045;75,1;87,5
"22";"D";"24";2;63,8;6;24;NA;15;80,6;486,6493578947;"B3";346,7492260062;49,4472361809045;69,8;100
"23";"D";"24";3;67,9;8;25;NA;19;80,6;486,6493578947;"B3";346,7492260062;49,4472361809045;75,9;100
"24";"D";"24";4;77,3;8,5;37;NA;25;80,6;486,6493578947;"B3";346,7492260062;49,4472361809045;85,8;100
"25";"D";"24";5;60;8,1;37;NA;21;80,6;486,6493578947;"B3";346,7492260062;49,4472361809045;68,1;87,5
"26";"D";"24";6;53,6;7,1;30;NA;17;80,6;486,6493578947;"B3";346,7492260062;49,4472361809045;60,7;100
"27";"D";"24";7;66;7;49;NA;19;80,6;486,6493578947;"B3";346,7492260062;49,4472361809045;73;100
"28";"D";"24";8;54;6;34;NA;17;80,6;486,6493578947;"B3";346,7492260062;49,4472361809045;60;100
"29";"D";"29";1;75,5;7;40;NA;19;8;466,8915789474;"C3";314,2414860681;49,3979933110368;82,5;100
"30";"D";"29";2;73,1;8;41;NA;21;8;466,8915789474;"C3";314,2414860681;49,3979933110368;81,1;100
"31";"D";"29";3;64,9;6,1;32;NA;21;8;466,8915789474;"C3";314,2414860681;49,3979933110368;71;100
"32";"D";"29";4;63,6;7,1;29;NA;19;8;466,8915789474;"C3";314,2414860681;49,3979933110368;70,7;62,5
"33";"D";"29";5;69,1;8,5;45;NA;21;8;466,8915789474;"C3";314,2414860681;49,3979933110368;77,6;62,5
"34";"D";"29";6;81,6;7;31;NA;19;8;466,8915789474;"C3";314,2414860681;49,3979933110368;88,6;87,5
"35";"D";"29";7;72;8,5;42;NA;23;8;466,8915789474;"C3";314,2414860681;49,3979933110368;80,5;100
"36";"D";"29";8;57,5;6;26;NA;19;8;466,8915789474;"C3";314,2414860681;49,3979933110368;63,5;100
"37";"D";"29";9;45,6;5,5;17;NA;17;8;466,8915789474;"C3";314,2414860681;49,3979933110368;51,1;75
"38";"D";"47";1;71;6,3;25;NA;21;80,9;347,5908842105;"D3";232,1981424149;52,2327586206897;77,3;100
"39";"D";"47";2;53,3;5;23;NA;17;80,9;347,5908842105;"D3";232,1981424149;52,2327586206897;58,3;100
"40";"D";"47";3;80,7;8;34;NA;23;80,9;347,5908842105;"D3";232,1981424149;52,2327586206897;88,7;100
"41";"D";"47";4;64,6;5,1;22;NA;17;80,9;347,5908842105;"D3";232,1981424149;52,2327586206897;69,7;75
"42";"D";"47";5;49,2;5,5;22;NA;17;80,9;347,5908842105;"D3";232,1981424149;52,2327586206897;54,7;87,5
"43";"D";"47";6;59,4;6,2;26;NA;17;80,9;347,5908842105;"D3";232,1981424149;52,2327586206897;65,6;100
"44";"D";"47";7;47,8;5,1;15;NA;17;80,9;347,5908842105;"D3";232,1981424149;52,2327586206897;52,9;75
"45";"D";"47";8;69;5;26;NA;17;80,9;347,5908842105;"D3";232,1981424149;52,2327586206897;74;87,5
"46";"D";"47";9;49,4;6,1;22;NA;19;80,9;347,5908842105;"D3";232,1981424149;52,2327586206897;55,5;100
"47";"D";"47";10;54;6,4;13;NA;15;80,9;347,5908842105;"D3";232,1981424149;52,2327586206897;60,4;75
"48";"D";"13";1;61,1;6,9;19;NA;17;82,2;379,0875789474;"B3";255,4179566563;45,2416666666667;68;75
"49";"D";"13";2;63,2;7;25;NA;19;82,2;379,0875789474;"B3";255,4179566563;45,2416666666667;70,2;100
"50";"D";"13";3;59,5;7,8;27;NA;23;82,2;379,0875789474;"B3";255,4179566563;45,2416666666667;67,3;87,5
"51";"D";"13";4;80,4;11;49;NA;25;82,2;379,0875789474;"B3";255,4179566563;45,2416666666667;91,4;87,5
"52";"D";"13";5;58,8;8,7;43;NA;19;82,2;379,0875789474;"B3";255,4179566563;45,2416666666667;67,5;100
"53";"D";"13";6;68;8,1;57;NA;21;82,2;379,0875789474;"B3";255,4179566563;45,2416666666667;76,1;100
"54";"D";"13";7;70,5;8,5;44;NA;23;82,2;379,0875789474;"B3";255,4179566563;45,2416666666667;79;100
"55";"D";"13";8;70,2;7,5;45;NA;23;82,2;379,0875789474;"B3";255,4179566563;45,2416666666667;77,7;100
"56";"D";"13";9;59;6,5;22;NA;17;82,2;379,0875789474;"B3";255,4179566563;45,2416666666667;65,5;100
"57";"D";"48";1;57;7,5;31;NA;19;80,8;309,69;"D3";205,8823529412;51,5538847117794;64,5;87,5
"58";"D";"48";2;62;6,8;37;NA;19;80,8;309,69;"D3";205,8823529412;51,5538847117794;68,8;75
"59";"D";"48";3;61,5;8;54;NA;23;80,8;309,69;"D3";205,8823529412;51,5538847117794;69,5;100
"60";"D";"48";4;55,9;7,1;35;NA;19;80,8;309,69;"D3";205,8823529412;51,5538847117794;63;87,5
"61";"D";"48";5;64,4;6,1;36;NA;15;80,8;309,69;"D3";205,8823529412;51,5538847117794;70,5;100
"62";"D";"48";6;59,5;7,6;46;NA;19;80,8;309,69;"D3";205,8823529412;51,5538847117794;67,1;75
"63";"D";"48";7;42,4;6,4;23;NA;19;80,8;309,69;"D3";205,8823529412;51,5538847117794;48,8;100
"64";"D";"48";8;49,5;5;22;NA;19;80,8;309,69;"D3";205,8823529412;51,5538847117794;54,5;100
